カテゴリ,番号,質問,回答欄,備考
A. オーナー管理,A-1,オーナー様の情報として、以下のほかに管理したい項目はありますか？（例: 氏名、区分（個人/法人）、連絡先、銀行口座情報、契約タイプ（受託管理/サブリース）など）,,
A. オーナー管理,A-2,受託管理とサブリースで、オーナー様とのやりとりの内容や頻度に違いはありますか？それぞれどんなやりとりが発生しますか？（例: 月次報告、家賃送金明細の送付、修繕の相談・承認、空室募集の方針相談など）,,
A. オーナー管理,A-3-1,毎月の家賃送金明細の送付方法は？,,"メール / LINE / 郵送 / その他"
A. オーナー管理,A-3-2,明細に含まれる項目は？（例: 家賃収入、管理手数料、修繕費控除、振込額など）,,
A. オーナー管理,A-3-3,現在、明細はどのように作成していますか？,,"Excel / 手作業 / その他"
A. オーナー管理,A-4,オーナー様から預かる書類にはどんなものがありますか？（例: 管理委託契約書、サブリース契約書、火災保険証書、登記簿謄本、確定申告書写しなど）それぞれに有効期限や更新時期の管理は必要ですか？,,
A. オーナー管理,A-5,オーナーごとに優先連絡手段（LINE / メール / 電話）を管理したいですか？,,"はい / いいえ"
B. 物件・部屋管理,B-1,物件の情報として管理したい項目を教えてください。（例: 物件名、住所、種別、構造、築年、総戸数、管理開始日など）,,
B. 物件・部屋管理,B-2,各部屋（号室）ごとに管理したい項目はありますか？（例: 部屋番号、間取り、面積、募集家賃、現在の入居状況など）,,
B. 物件・部屋管理,B-3,1つの物件に複数のオーナーが関わるケースはありますか？（区分所有など）それとも1物件=1オーナーで問題ないですか？,,"1対1 / 複数あり"
B. 物件・部屋管理,B-4,物件のキーボックス情報（番号、設置場所）は管理が必要ですか？,,"はい / いいえ"
B. 物件・部屋管理,B-5,物件に紐づく画像・写真の管理は必要ですか？（外観、間取り図、室内写真など）,,"はい / いいえ"
C. 入居者管理,C-1,入居者の情報として管理したい項目を教えてください。（例: 氏名、連絡先、勤務先、緊急連絡先、入居日、契約期間、家賃、敷金/礼金、保証会社情報など）,,
C. 入居者管理,C-2,1入居者に対して複数の書類を紐づけて管理するイメージですか？（例: 賃貸借契約書、重要事項説明書、保証会社契約書、火災保険証書など）,,"はい / いいえ"
C. 入居者管理,C-3,入居者との連絡手段は何ですか？入居者ごとに連絡手段を使い分けていますか？,,"公式LINE / 電話 / メール / アイブリー"
C. 入居者管理,C-4-1,契約更新の何日前くらいから準備を始めますか？,,
C. 入居者管理,C-4-2,契約更新時に必要な作業は？（例: 通知送付、書類作成、家賃改定交渉など）,,
C. 入居者管理,C-5-1,退去通知から退去日までの標準的な期間は？,,
C. 入居者管理,C-5-2,退去時に発生する作業は？（例: 立会い、原状回復、精算、敷金返還、次の募集開始など）,,
D. 対応履歴・クレーム・修繕,D-1,入居者からの問い合わせやクレームにはどんな種類がありますか？カテゴリとして分類管理したいものがあれば教えてください。（例: 設備故障、騒音苦情、漏水、害虫、共用部不具合、鍵紛失など）,,
D. 対応履歴・クレーム・修繕,D-2,クレームや修繕依頼を受けてから解決するまでの一般的な流れ（ステータス）を教えてください。（例: 受付→確認中→業者手配→対応中→完了→オーナー報告）,,
D. 対応履歴・クレーム・修繕,D-3,修繕業者の情報も管理したいですか？（例: 業者名、連絡先、対応分野、過去の依頼履歴など）,,"はい / いいえ"
D. 対応履歴・クレーム・修繕,D-4,修繕費用について、オーナー様への承認フローはありますか？（例: ○万円以上はオーナー承認が必要、サブリースは自社判断など）,,
D. 対応履歴・クレーム・修繕,D-5,対応履歴は物件単位で見たいですか？入居者単位で見たいですか？両方ですか？,,"物件単位 / 入居者単位 / 両方"
E. 社内タスク・業務フロー,E-1,賃貸管理の業務で、スタッフ間で発生する定期的なタスクにはどんなものがありますか？（例: 月次報告書作成、家賃入金確認、契約更新リストの確認、物件巡回など）,,
E. 社内タスク・業務フロー,E-2,タスクには担当者の割り振りがありますか？（例: 物件ごとに担当者が決まっている、業務内容ごとに担当が違うなど）,,
E. 社内タスク・業務フロー,E-3,現在のタスク・スケジュール管理（Googleカレンダー+チャットワーク）で、タスクの抜け漏れや共有で困っていることはありますか？,,
E. 社内タスク・業務フロー,E-4-1,家賃の入金確認はどのように行っていますか？,,"通帳目視 / 経理報告 / 保証会社経由 / その他"
E. 社内タスク・業務フロー,E-4-2,滞納が発生した場合の対応フローを教えてください。,,
F. アラート・通知,F-1,契約更新の○日前に通知（何日前が理想ですか？）,,"必要 / 不要 / あれば嬉しい"
F. アラート・通知,F-2,家賃滞納（入金期日を過ぎた場合）の通知,,"必要 / 不要 / あれば嬉しい"
F. アラート・通知,F-3,書類の有効期限が近づいた場合の通知,,"必要 / 不要 / あれば嬉しい"
F. アラート・通知,F-4,空室が○日以上続いた場合の通知,,"必要 / 不要 / あれば嬉しい"
F. アラート・通知,F-5,クレーム・修繕依頼が○日未対応の場合の通知,,"必要 / 不要 / あれば嬉しい"
F. アラート・通知,F-6,オーナーへの月次報告書の送付時期リマインド,,"必要 / 不要 / あれば嬉しい"
F. アラート・通知,F-7,その他のアラート（自由記入）,,
F. アラート・通知,F-8,通知の送り先は誰ですか？,,"担当者 / 管理者 / 両方"
F. アラート・通知,F-9,通知方法の希望は？,,"Salesforce内 / メール / LINE / チャット"
G. 現在の課題・ご要望,G-1,現在の賃貸管理業務で、最も手間がかかっている作業は何ですか？,,
G. 現在の課題・ご要望,G-2,「これがシステム化できたら一番助かる」というものがあれば教えてください。,,
G. 現在の課題・ご要望,G-3,現在データがバラバラになっていて困っていることはありますか？（例: オーナー情報はExcel、対応履歴はチャットワーク、契約書はサーバーのフォルダなど）,,
G. 現在の課題・ご要望,G-4,上記以外に「こういう情報も管理したい」「こういう画面が欲しい」というご要望があれば自由にお書きください。,,
