名称,機能詳細
例会一覧（管理者）,"例会をステータス別（下書き・清書・公開済み）のタブで一覧表示。部署フィルタ、出席回答サマリ表示、詳細閲覧・編集・削除（ソフトデリート）。下書きタブではCSV一括ダウンロード/アップロード、清書タブではチェックボックスによる一括公開が可能。ステータス変更（下書き→清書→公開）操作あり。"
例会の新規作成（管理者）,"例会の新規作成フォーム。タイトル、山名、標高、担当部、CL/SL、日程、体力度・技術度・岩登り区分、必要保険口数、集合場所・時間、コース、締切日、備考を入力。作成後は例会一覧に遷移。編集フォームと共通コンポーネント。"
例会詳細（管理者）,"例会の基本情報（山名・担当部・日程・CL/SL・グレード・保険・集合場所等）と出席回答状況（出席・欠席・保留・未回答の人数と会員ごとの回答内容）をモーダルで表示。"
装備一覧（管理者）,"装備品をカテゴリ（テント・ロープ・無線機・登攀具・調理器具・その他）とステータス（貸出可・貸出中・メンテナンス中）でフィルタして一覧表示。装備の詳細閲覧・編集・削除が可能。期限超過の貸出アラート表示。現在の貸出者・使用例会の表示。"
装備の新規登録（管理者）,"装備品の新規登録フォーム。装備名、カテゴリ、状態（良好・要点検・修理中）、ステータス（貸出可・貸出中・メンテナンス中）、購入日、備考を入力。登録後は装備一覧に遷移。編集フォームと共通コンポーネント。"
装備詳細（管理者）,"装備品の基本情報と貸出履歴（貸出者・使用例会・貸出日・返却予定日・返却日）をモーダルで表示。"
例会スケジュール（一般会員）,"カレンダービューで公開済みの例会を月間表示。月の前後移動、カレンダー上の例会クリックで詳細モーダル表示。出席回答（出席・欠席・保留）をコメント付きで送信可能。自分の回答状況をカレンダー上に色分け表示。"
出席回答履歴（一般会員）,"ログインユーザー自身の出席回答一覧を表示。回答済みの例会名・日程・回答ステータス・コメントを確認。回答の編集（ステータス変更・コメント修正）が可能。"
例会記録（一般会員）,"例会記録の一覧表示と新規作成。記録にはタイトル、サブタイトル、日付、天候、参加者、アクセス情報、コースタイム、内容、コース状況、備考を入力。複数画像ファイルのアップロード対応。記録の閲覧・編集・削除が可能。過去の例会で記録未作成のものを候補として表示。ステータス管理（下書き・提出済・掲載済）。"
装備貸出・返却（一般会員）,"貸出可能な装備をカテゴリフィルタ付きで一覧表示。貸出申請フォーム（使用例会選択・返却予定日入力）で貸出申請。自分が現在借りている装備の一覧と返却ボタンを表示。期限超過の警告表示。"
貸出履歴（一般会員）,"ログインユーザー自身の装備貸出履歴を新しい順に一覧表示。装備名・カテゴリ・使用例会・貸出日・返却予定日・返却日を確認。貸出中・返却済み・期限超過を色分け表示。"
データ構造図,"システムのデータ構造（ER図）をビジュアル表示。テーブル定義（部署・役職・講座・会員・例会・出席・記録・装備・貸出等）のフィールド一覧とリレーションをカテゴリ別にフィルタして確認可能。"
